geracao;minFitness;maxFitness;avgFitness;time
0;435;565;495;0.001665
1;435;548;480;0.002340
2;435;542;477;0.003003
3;426;552;468;0.003666
4;405;571;463;0.004324
5;405;544;461;0.004987
6;405;549;455;0.005653
7;398;566;455;0.006318
8;398;564;452;0.006982
9;382;543;443;0.007640
10;382;549;439;0.008298
11;379;536;434;0.008953
12;379;549;430;0.009603
13;364;548;422;0.010255
14;363;559;415;0.010918
15;350;534;409;0.011606
16;348;535;401;0.012430
17;342;550;397;0.013194
18;335;557;393;0.013944
19;334;553;390;0.014681
20;329;538;383;0.015356
21;318;551;377;0.016025
22;318;520;375;0.016696
23;315;557;375;0.017365
24;315;559;375;0.018018
25;310;569;372;0.018673
26;310;549;371;0.019319
27;310;545;365;0.019950
28;310;562;366;0.020602
29;307;537;363;0.021280
30;306;555;365;0.021913
31;302;559;355;0.022537
32;301;532;359;0.023144
33;300;547;355;0.023748
34;299;550;357;0.024350
35;299;547;353;0.024941
36;297;546;355;0.025518
37;297;567;354;0.026102
38;297;553;355;0.026722
39;295;555;351;0.027300
40;293;522;356;0.027869
41;293;554;353;0.028438
42;293;568;351;0.029002
43;293;549;348;0.029548
44;290;541;348;0.030095
45;290;545;347;0.030630
46;290;549;349;0.031172
47;290;560;348;0.031717
48;289;558;347;0.032266
49;286;543;343;0.032871
50;286;557;344;0.033413
51;286;560;346;0.033964
52;284;539;344;0.034521
53;277;545;347;0.035085
54;277;545;343;0.035646
55;277;581;338;0.036197
56;274;568;341;0.036754
57;274;541;338;0.037327
58;273;565;338;0.037905
59;273;544;327;0.038459
60;273;562;334;0.039029
61;272;542;331;0.039640
62;272;561;331;0.040198
63;272;552;329;0.040740
64;270;518;327;0.041277
65;270;564;325;0.041820
66;268;533;332;0.042373
67;268;516;327;0.042928
68;268;549;329;0.043489
69;267;541;328;0.044045
70;263;571;328;0.044589
71;263;569;323;0.045121
72;263;561;328;0.045676
73;258;515;327;0.046230
74;258;557;330;0.046789
75;258;540;325;0.047340
76;253;553;325;0.047895
77;253;540;330;0.048460
78;250;547;317;0.049002
79;248;566;321;0.049558
80;245;526;309;0.050122
81;245;539;319;0.050711
82;245;555;308;0.051269
83;245;566;320;0.051833
84;245;577;316;0.052399
85;241;533;316;0.052970
86;241;544;315;0.053537
87;241;552;306;0.054088
88;241;568;311;0.054641
89;239;542;305;0.055199
90;239;561;313;0.055760
91;239;529;307;0.056322
92;239;534;312;0.056879
93;239;538;305;0.057440
94;239;552;303;0.057998
95;239;554;309;0.058554
96;239;537;304;0.059106
97;239;554;307;0.059673
98;239;542;306;0.060228
99;239;546;303;0.060778
100;239;547;308;0.061326
101;239;538;309;0.061885
102;239;551;311;0.062443
103;239;586;310;0.063003
104;239;541;314;0.063571
105;238;556;306;0.064131
106;238;554;307;0.064685
107;236;540;299;0.065229
108;234;542;305;0.065787
109;234;521;304;0.066358
110;234;544;304;0.066922
111;234;556;301;0.067491
112;234;531;305;0.068060
113;234;532;303;0.068635
114;234;534;303;0.069202
115;234;534;310;0.069784
116;234;578;301;0.070352
117;234;538;302;0.070923
118;234;532;303;0.071484
119;234;547;304;0.072025
120;234;562;308;0.072593
121;233;546;305;0.073160
122;232;550;302;0.073728
123;232;562;306;0.074303
124;232;564;309;0.074874
125;231;534;302;0.075438
126;231;563;302;0.075996
127;231;599;302;0.076542
128;231;554;303;0.077115
129;231;586;308;0.077681
130;230;601;306;0.078244
131;230;548;296;0.078792
132;230;559;298;0.079348
133;230;574;306;0.079913
134;230;536;304;0.080476
135;228;553;308;0.081049
136;228;532;304;0.081632
137;228;558;299;0.082200
138;228;564;302;0.082771
139;227;529;296;0.083331
140;227;565;306;0.083897
141;227;526;297;0.084452
142;227;544;295;0.085012
143;227;554;296;0.085562
144;227;549;297;0.086121
145;227;561;299;0.086678
146;227;574;301;0.087239
147;227;530;296;0.087801
148;227;566;296;0.088353
149;227;550;308;0.088933
150;227;555;297;0.089488
151;227;547;301;0.090057
152;227;555;306;0.090623
153;227;558;293;0.091188
154;227;538;304;0.091754
155;227;572;306;0.092345
156;227;544;308;0.092923
157;227;551;303;0.093489
158;227;579;298;0.094037
159;227;554;297;0.094595
160;227;538;297;0.095135
161;227;533;294;0.095691
162;222;544;300;0.096254
163;222;574;305;0.096824
164;222;571;303;0.097373
165;222;545;300;0.097938
166;222;575;292;0.098490
167;222;533;300;0.099067
168;222;533;291;0.099629
169;222;536;293;0.100191
170;222;547;296;0.100755
171;222;573;299;0.101379
172;222;538;289;0.101924
173;222;562;285;0.102475
174;222;528;290;0.103024
175;222;550;298;0.103598
176;222;563;292;0.104163
177;222;538;288;0.104714
178;222;573;293;0.105270
179;222;541;294;0.105835
180;222;544;296;0.106416
181;222;539;294;0.106977
182;222;545;297;0.107548
183;222;550;303;0.108187
184;221;555;296;0.108753
185;221;547;297;0.109322
186;221;544;293;0.109880
